150909 200727.076|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\John\Dropbox\UVA\ICPC\pc2-9.2.4-2837\pc2-9.2.4\bin\logs directory.
150909 200727.076|INFO|AWT-EventQueue-0|info|
150909 200727.076|INFO|AWT-EventQueue-0|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_60 build 2837 Windows 10 10.0 (x86) 
150909 200727.076|INFO|AWT-EventQueue-0|info|Login: team36 (aka team36)
150909 200727.076|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\John\Dropbox\UVA\ICPC\pc2-9.2.4-2837\pc2-9.2.4\bin
150909 200727.077|INFO|AWT-EventQueue-0|startLog|Process id is 12688@jjp_rb15fhd
150909 200727.077|INFO|AWT-EventQueue-0|info|Contacting server at libra.cs.virginia.edu:50002 as TEAM36 @ site 0
150909 200727.077|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM36 @ site 0
150909 200727.083|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM36 @ site 0 -> SERVER0 @ site 0
150909 200727.084|INFO|Thread-4|run|send(Serializable)
150909 200727.085|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM36 @ site 0 -> SERVER0 @ site 0
150909 200727.085|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
150909 200727.210|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
150909 200727.234|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #153 SERVER0 @ site 1 -> TEAM36 @ site 1
150909 200727.234|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #153 ) recieveObject
150909 200727.234|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 200727.234|INFO|Thread-5|dumpPacket|    To: TEAM36 @ site 1
150909 200727.235|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@3617b1
150909 200727.235|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
