150909 200727.246|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\John\Dropbox\UVA\ICPC\pc2-9.2.4-2837\pc2-9.2.4\bin\logs directory.
150909 200727.247|INFO|Thread-5|info|
150909 200727.247|INFO|Thread-5|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_60 build 2837 Windows 10 10.0 (x86) 
150909 200727.247|INFO|Thread-5|info|Login: team36 (aka team36)
150909 200727.247|INFO|Thread-5|startLog|Working directory is C:\Users\John\Dropbox\UVA\ICPC\pc2-9.2.4-2837\pc2-9.2.4\bin
150909 200727.247|INFO|Thread-5|startLog|Process id is 12688@jjp_rb15fhd
150909 200727.248|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
150909 200727.256|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
150909 200727.407|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
150909 200727.407|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #153 SERVER0 @ site 1 -> TEAM36 @ site 1
150909 200727.408|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #153 SERVER0 @ site 1 -> TEAM36 @ site 1
150909 201126.388|INFO|Thread-6|info| receiveObject(S) start got Packet[ADD_SETTING] #187 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201126.388|INFO|Thread-6|dumpPacket|Packet ADD_SETTING (Seq #187 ) recieveObject
150909 201126.389|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201126.389|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
150909 201126.389|INFO|Thread-6|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Java
150909 201126.389|INFO|Thread-6|info|handlePacket start Packet[ADD_SETTING] #187 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201126.389|INFO|Thread-6|dumpPacket|Packet ADD_SETTING (Seq #187 ) handlePacket
150909 201126.390|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201126.390|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
150909 201126.390|INFO|Thread-6|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Java
150909 201126.391|INFO|Thread-6|info|handlePacket end Packet[ADD_SETTING] #187 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201126.391|INFO|Thread-6|info| receiveObject(S) end   got Packet[ADD_SETTING] #187 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201136.628|INFO|Thread-7|info| receiveObject(S) start got Packet[ADD_SETTING] #192 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201136.628|INFO|Thread-7|dumpPacket|Packet ADD_SETTING (Seq #192 ) recieveObject
150909 201136.629|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201136.629|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
150909 201136.630|INFO|Thread-7|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
150909 201136.630|INFO|Thread-7|info|handlePacket start Packet[ADD_SETTING] #192 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201136.631|INFO|Thread-7|dumpPacket|Packet ADD_SETTING (Seq #192 ) handlePacket
150909 201136.631|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201136.631|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
150909 201136.632|INFO|Thread-7|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
150909 201136.632|INFO|Thread-7|info|handlePacket end Packet[ADD_SETTING] #192 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201136.633|INFO|Thread-7|info| receiveObject(S) end   got Packet[ADD_SETTING] #192 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201550.815|INFO|Thread-8|info| receiveObject(S) start got Packet[ADD_SETTING] #217 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201550.816|INFO|Thread-8|dumpPacket|Packet ADD_SETTING (Seq #217 ) recieveObject
150909 201550.816|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201550.817|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
150909 201550.817|INFO|Thread-8|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem A: Fifty Coats of Gray
150909 201550.818|INFO|Thread-8|info|handlePacket start Packet[ADD_SETTING] #217 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201550.818|INFO|Thread-8|dumpPacket|Packet ADD_SETTING (Seq #217 ) handlePacket
150909 201550.819|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201550.819|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
150909 201550.819|INFO|Thread-8|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem A: Fifty Coats of Gray
150909 201550.824|INFO|Thread-8|info|handlePacket end Packet[ADD_SETTING] #217 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201550.824|INFO|Thread-8|info| receiveObject(S) end   got Packet[ADD_SETTING] #217 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201806.428|INFO|Thread-9|info| receiveObject(S) start got Packet[ADD_SETTING] #223 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201806.429|INFO|Thread-9|dumpPacket|Packet ADD_SETTING (Seq #223 ) recieveObject
150909 201806.429|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201806.429|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
150909 201806.429|INFO|Thread-9|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem B: Component Testing
150909 201806.429|INFO|Thread-9|info|handlePacket start Packet[ADD_SETTING] #223 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201806.430|INFO|Thread-9|dumpPacket|Packet ADD_SETTING (Seq #223 ) handlePacket
150909 201806.430|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201806.430|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
150909 201806.431|INFO|Thread-9|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem B: Component Testing
150909 201806.431|INFO|Thread-9|info|handlePacket end Packet[ADD_SETTING] #223 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201806.431|INFO|Thread-9|info| receiveObject(S) end   got Packet[ADD_SETTING] #223 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201837.553|INFO|Thread-10|info| receiveObject(S) start got Packet[ADD_SETTING] #232 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201837.554|INFO|Thread-10|dumpPacket|Packet ADD_SETTING (Seq #232 ) recieveObject
150909 201837.554|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201837.554|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 0
150909 201837.554|INFO|Thread-10|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem C: Collision Detection
150909 201837.554|INFO|Thread-10|info|handlePacket start Packet[ADD_SETTING] #232 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201837.554|INFO|Thread-10|dumpPacket|Packet ADD_SETTING (Seq #232 ) handlePacket
150909 201837.554|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 201837.554|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 0
150909 201837.555|INFO|Thread-10|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem C: Collision Detection
150909 201837.555|INFO|Thread-10|info|handlePacket end Packet[ADD_SETTING] #232 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 201837.555|INFO|Thread-10|info| receiveObject(S) end   got Packet[ADD_SETTING] #232 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202123.634|INFO|Thread-11|info| receiveObject(S) start got Packet[ADD_SETTING] #242 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202123.635|INFO|Thread-11|dumpPacket|Packet ADD_SETTING (Seq #242 ) recieveObject
150909 202123.635|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202123.635|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
150909 202123.636|INFO|Thread-11|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem D: Dueling Philosophers
150909 202123.636|INFO|Thread-11|info|handlePacket start Packet[ADD_SETTING] #242 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202123.637|INFO|Thread-11|dumpPacket|Packet ADD_SETTING (Seq #242 ) handlePacket
150909 202123.637|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202123.637|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
150909 202123.638|INFO|Thread-11|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem D: Dueling Philosophers
150909 202123.638|INFO|Thread-11|info|handlePacket end Packet[ADD_SETTING] #242 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202123.639|INFO|Thread-11|info| receiveObject(S) end   got Packet[ADD_SETTING] #242 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202319.420|INFO|Thread-12|info| receiveObject(S) start got Packet[ADD_SETTING] #250 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202319.421|INFO|Thread-12|dumpPacket|Packet ADD_SETTING (Seq #250 ) recieveObject
150909 202319.421|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202319.422|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 0
150909 202319.422|INFO|Thread-12|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem E: Party Games
150909 202319.422|INFO|Thread-12|info|handlePacket start Packet[ADD_SETTING] #250 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202319.423|INFO|Thread-12|dumpPacket|Packet ADD_SETTING (Seq #250 ) handlePacket
150909 202319.423|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202319.423|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 0
150909 202319.423|INFO|Thread-12|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem E: Party Games
150909 202319.424|INFO|Thread-12|info|handlePacket end Packet[ADD_SETTING] #250 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202319.424|INFO|Thread-12|info| receiveObject(S) end   got Packet[ADD_SETTING] #250 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202401.191|INFO|Thread-13|info| receiveObject(S) start got Packet[ADD_SETTING] #254 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202401.192|INFO|Thread-13|dumpPacket|Packet ADD_SETTING (Seq #254 ) recieveObject
150909 202401.192|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202401.193|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
150909 202401.193|INFO|Thread-13|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem F: Funhouse
150909 202401.193|INFO|Thread-13|info|handlePacket start Packet[ADD_SETTING] #254 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202401.194|INFO|Thread-13|dumpPacket|Packet ADD_SETTING (Seq #254 ) handlePacket
150909 202401.194|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202401.194|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
150909 202401.195|INFO|Thread-13|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem F: Funhouse
150909 202401.195|INFO|Thread-13|info|handlePacket end Packet[ADD_SETTING] #254 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202401.195|INFO|Thread-13|info| receiveObject(S) end   got Packet[ADD_SETTING] #254 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202428.852|INFO|Thread-14|info| receiveObject(S) start got Packet[ADD_SETTING] #256 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202428.853|INFO|Thread-14|dumpPacket|Packet ADD_SETTING (Seq #256 ) recieveObject
150909 202428.853|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202428.854|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 0
150909 202428.854|INFO|Thread-14|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem G: Terribly Grimm Problem
150909 202428.854|INFO|Thread-14|info|handlePacket start Packet[ADD_SETTING] #256 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202428.855|INFO|Thread-14|dumpPacket|Packet ADD_SETTING (Seq #256 ) handlePacket
150909 202428.855|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202428.855|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 0
150909 202428.856|INFO|Thread-14|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem G: Terribly Grimm Problem
150909 202428.856|INFO|Thread-14|info|handlePacket end Packet[ADD_SETTING] #256 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202428.856|INFO|Thread-14|info| receiveObject(S) end   got Packet[ADD_SETTING] #256 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202455.608|INFO|Thread-15|info| receiveObject(S) start got Packet[ADD_SETTING] #262 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202455.609|INFO|Thread-15|dumpPacket|Packet ADD_SETTING (Seq #262 ) recieveObject
150909 202455.609|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202455.609|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
150909 202455.609|INFO|Thread-15|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem H: Tsunami
150909 202455.609|INFO|Thread-15|info|handlePacket start Packet[ADD_SETTING] #262 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202455.610|INFO|Thread-15|dumpPacket|Packet ADD_SETTING (Seq #262 ) handlePacket
150909 202455.610|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 202455.610|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
150909 202455.611|INFO|Thread-15|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem H: Tsunami
150909 202455.611|INFO|Thread-15|info|handlePacket end Packet[ADD_SETTING] #262 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 202455.611|INFO|Thread-15|info| receiveObject(S) end   got Packet[ADD_SETTING] #262 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 203457.397|INFO|Thread-16|info| receiveObject(S) start got Packet[UPDATE_SETTING] #457 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 203457.397|INFO|Thread-16|dumpPacket|Packet UPDATE_SETTING (Seq #457 ) recieveObject
150909 203457.398|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 203457.398|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 0
150909 203457.398|INFO|Thread-16|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem A: Fifty Coats of Gray
150909 203457.399|INFO|Thread-16|info|handlePacket start Packet[UPDATE_SETTING] #457 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 203457.399|INFO|Thread-16|dumpPacket|Packet UPDATE_SETTING (Seq #457 ) handlePacket
150909 203457.399|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (libra @ 127.0.1.1) (Contest Id: Default--1818480425291956127)
150909 203457.400|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 0
150909 203457.400|INFO|Thread-16|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem A: Fifty Coats of Gray
150909 203457.405|INFO|Thread-16|info|handlePacket end Packet[UPDATE_SETTING] #457 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 203457.405|INFO|Thread-16|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #457 SERVER0 @ site 1 -> SERVER0 @ site 0
150909 204910.710|INFO|Thread-17|info| receiveObject(S) start got Packet[UPDATE_SETTING] #667 SERVER0 @ site 1 -> TEAM36 @ site 1
